Auction_key,Auction_class,Bid_class,Claim_price,Appraisal_company,Appraisal_date,Auction_count,Auction_miscarriage_count,Total_land_gross_area,Total_land_real_area,Total_land_auction_area,Total_building_area,Total_building_auction_area,Total_appraisal_price,Minimum_sales_price,First_auction_date,Final_auction_date,Final_result,Creditor,addr_do,addr_si,addr_dong,addr_li,addr_san,addr_bunji1,addr_bunji2,addr_etc,Apartment_usage,Preserve_regist_date,Total_floor,Current_floor,Specific,Share_auction_YorN,road_name,road_bunji1,road_bunji2,Close_date,Close_result,point.y,point.x,Hammer_price
2362,임의,개별,5.0,명장감정,2017-02-22 00:00:00,2,1,1205.8,18.27,18.27,81.96,81.96,2.99,2.392,2017-11-17 00:00:00,2017-12-22 00:00:00,낙찰,한화저축은행,부산,부산진구,양정동,,N,276.0,2.0,대성문퀸즈더블유 101동 12층 101-1205호,Apartment,2012-06-26 00:00:00,15,12,,N,동평로405번길,69.0,,2018-02-28 00:00:00,배당,35.1765811,129.0712283,2.40000001
1947,임의,일반,0.3712295,명장감정,2016-02-18 00:00:00,2,1,5043.0,37.38,37.38,84.72,84.72,2.41,1.9280000000000002,2016-05-27 00:00:00,2016-12-16 00:00:00,낙찰,프라임대부,부산,영도구,동삼동,,N,681.0,21.0,", 1076-7, 1126-7, 1145 유림노르웨이숲비치 103동 2층 202호",Apartment,2005-10-28 00:00:00,15,2,,N,태종로,705.0,,2017-02-13 00:00:00,배당,35.0718972,129.0765854,2.210172
2298,임의,일반,0.25,문일감정,2016-09-26 00:00:00,4,2,8880.0,31.69,7.04,84.6,18.8,0.41,0.2624,2017-09-28 00:00:00,2018-01-11 00:00:00,낙찰,Private,부산,사하구,신평동,,N,437.0,,삼창강변 102동 11층 1111호,Apartment,1998-01-26 00:00:00,22,11,"공유자 박수미,박종학으로부터 공유자 우선매수신고 있음.공유자가 민사집행법 제140조에 의한 우선매수신고를 한경우 그 매수신고 후 최초로 진행되는 매각기일에 매수보증금의 미납으로 실효되는 경우 그 공유자는 그 이후 해당부동산의 매각기일에서는 우선매수권을 행사할 수 없다.(단,당해 기일에 다른 매수신고인이 없는 경우 최저매각가액을 공유자우선매수신고액으로 봄)",Y,비봉로,37.0,,2018-04-19 00:00:00,배당,35.0982223,128.965136,0.31888
2550,임의,일반,1.35,미르감정,2016-07-24 00:00:00,2,1,0.0,0.0,0.0,106.34,106.34,5.6,4.48,2017-01-19 00:00:00,2017-03-30 00:00:00,낙찰,대부F&D,부산,해운대구,중동,,N,1519.0,3.0,", 1522-1,-2, 1523-1,-2,-3,-4,-5, 1524-1,-2,-3,-4, 1525-1, 1527-2, 1528, 1539-1 해운대힐스테이트위브 T-101동 5층 504호",Apartment,2015-06-17 00:00:00,39,5,,N,좌동순환로433번길,30.0,,2017-07-24 00:00:00,배당,35.1619479,129.1791098,5.188
2046,임의,일반,9.5368,국제감정,2016-06-01 00:00:00,1,0,82385.1,80.62,80.62,182.76,182.76,6.69,6.69,2016-10-21 00:00:00,2016-10-21 00:00:00,낙찰,국민은행,부산,연제구,연산동,,N,2262.0,,",2263 연산자이 116동 26층 2602호",Apartment,2010-08-13 00:00:00,28,26,,N,과정로343번길,43.0,,2016-12-20 00:00:00,배당,35.1885799,129.0893353,6.7019
2678,강제,일반,0.13848484,드림감정,2017-06-14 00:00:00,2,1,41235.0,53.84,53.84,150.8,150.8,6.04,4.832,2017-10-31 00:00:00,2017-12-05 00:00:00,낙찰,Private,부산,수영구,민락동,,N,108.0,1.0,센텀비치푸르지오 107동 8층 802호,Apartment,2003-09-01 00:00:00,31,8,,N,광안해변로,418.0,,2018-01-31 00:00:00,배당,35.1598325,129.13115439999999,5.311
2682,임의,일반,1.49393725,금정감정,2017-07-04 00:00:00,3,2,12133.7,25.7,25.7,74.45,74.45,1.65,1.056,2017-12-05 00:00:00,2018-03-20 00:00:00,낙찰,HK저축은행,부산,해운대구,재송동,,N,1041.0,3.0,",1043-1,1045-1,1067-5 금호 103동 1층 101호",Apartment,2009-09-28 00:00:00,21,1,,N,재반로,141.0,,2018-05-16 00:00:00,배당,35.1916656,129.1268635,1.43999
1861,임의,개별,10.46685025,대일감정,2015-12-02 00:00:00,2,1,331.0,7.59,7.59,43.63,43.63,1.6,1.28,2016-05-06 00:00:00,2016-07-29 00:00:00,낙찰,부산은행,부산,동래구,온천동,,N,189.0,122.0,아이너스 12층 1203호,Apartment,2014-12-19 00:00:00,14,12,,N,차밭골로,24.0,,2016-12-22 00:00:00,배당,35.216645299999996,129.0791494,1.33
2037,임의,일반,0.42479480000000003,미래새한감정,2016-05-25 00:00:00,2,1,798.0,41.69,41.69,83.84,83.84,1.49,1.192,2016-08-26 00:00:00,2016-09-30 00:00:00,낙찰,농협은행,부산,영도구,동삼동,,N,229.0,10.0,",-167,-190 영도도남하이츠빌라 4층 403호",Apartment,2002-12-26 00:00:00,9,4,,N,웃서발로31번길,22.0,,2016-12-01 00:00:00,배당,35.081003100000004,129.0680908,1.2665110000000002
2103,임의,일반,0.30665922,한마음감정,2016-08-02 00:00:00,2,1,1389.0,39.43,39.43,62.97,62.97,0.9,0.72,2016-12-30 00:00:00,2017-02-03 00:00:00,낙찰,농협은행,부산,동구,수정동,,N,609.0,1.0,필우빌라맨션 가동 5층 501호,Apartment & Stores,1990-09-10 00:00:00,6,5,,N,수성로,2.0,1.0,2017-04-05 00:00:00,배당,35.1328404,129.0420399,0.738999
2254,강제,일반,1.6,혜림감정,2016-03-02 00:00:00,1,0,2405.0,5.66,5.66,53.29,53.29,2.06,2.06,2016-06-16 00:00:00,2016-06-16 00:00:00,낙찰,Private,부산,동래구,온천동,,N,161.0,1.0,온천장SK HUB Olive 25층 2505호,Apartment & Stores,2006-05-29 00:00:00,29,25,,N,금강공원로,2.0,,2016-08-23 00:00:00,배당,35.2186309,129.0841419,2.0611900000000003
1971,임의,일반,0.45589041,드림감정,2016-03-21 00:00:00,2,1,10145.0,30.87,15.44,59.99,30.0,0.63,0.504,2016-07-22 00:00:00,2016-10-21 00:00:00,낙찰,Private,부산,영도구,봉래동4가,,N,300.0,,영도유림 103동 9층 906호,Apartment,1997-01-21 00:00:00,10,9,,Y,봉래길,94.0,,2016-12-20 00:00:00,배당,35.0906381,129.0507288,0.6029899999999999
2491,임의,일반,1.2213437,문일감정,2016-01-26 00:00:00,2,1,12133.7,20.6,20.6,59.67,59.67,1.45,1.16,2016-06-23 00:00:00,2016-07-28 00:00:00,낙찰,청룡동(새),부산,해운대구,재송동,,N,1041.0,3.0,",-1,1045-1,1067-5 금호 103동 2층 203호",Apartment,2000-09-28 00:00:00,12,2,,N,재반로,141.0,,2016-09-26 00:00:00,배당,35.1916656,129.1268635,1.3663
2067,강제,일반,0.198,대한감정,2016-07-05 00:00:00,2,1,17575.3,39.8,39.8,117.59,117.59,3.52,2.8160000000000003,2017-02-09 00:00:00,2017-04-05 00:00:00,낙찰,Private,부산,서구,부민동3가,,N,76.0,,부민이-편한세상 101동 1층 105호,Apartment,2005-02-16 00:00:00,19,1,,N,해돋이로,313.0,,2017-06-07 00:00:00,배당,35.1041258,129.0160823,3.62
1960,강제,일반,1.22663013,희감정,2016-03-21 00:00:00,3,1,247.0,17.93,17.93,49.78,49.78,1.51,1.208,2016-07-21 00:00:00,2016-09-22 00:00:00,낙찰,Private,부산,동래구,온천동,,N,186.0,56.0,초원시티빌 6층 601호,Apartment,2013-01-18 00:00:00,9,6,,N,차밭골로20번길,21.0,,2016-11-30 00:00:00,배당,35.2171796,129.0800552,1.22
2074,임의,일반,1.2,내외감정,2016-07-11 00:00:00,1,0,6904.9,18.41,18.41,124.26,124.26,3.54,3.54,2016-10-26 00:00:00,2016-10-26 00:00:00,낙찰,케이에이제7차유동화전문,부산,연제구,연산동,,N,587.0,4.0,SK뷰 22층 102-2201호,Apartment & Stores,2006-05-30 00:00:00,35,22,,N,중앙대로1124번길,15.0,,2016-12-27 00:00:00,배당,35.1885896,129.08188619999999,3.71131
2305,임의,일반,3.11657509,대일감정,2016-10-21 00:00:00,2,1,125210.8,59.64,59.64,138.56,138.56,3.5,2.8,2017-05-19 00:00:00,2017-06-23 00:00:00,낙찰,신용보증기금,부산,사하구,하단동,,N,1175.0,,", 1176 가락타운 202동 9층 906호",Apartment,1992-10-30 00:00:00,16,9,,N,하신번영로,233.0,,2017-08-23 00:00:00,배당,35.1012973,128.95738640000002,3.4275
2237,임의,일반,1.3559999999999999,대한감정,2017-01-09 00:00:00,2,1,9535.2,31.77,31.77,84.72,84.72,1.92,1.536,2017-09-28 00:00:00,2017-11-02 00:00:00,낙찰,반야월농협,부산,중구,영주동,,N,160.0,,동아 102동 4층 401호,Apartment,1998-12-28 00:00:00,16,4,,N,영주로,65.0,,2017-12-28 00:00:00,배당,35.1126733,129.02983600000002,1.7371111
2712,임의,일반,0.51975561,대한감정,2017-04-14 00:00:00,2,1,35977.1,74.49,74.49,84.99,84.99,3.54,2.832,2017-08-22 00:00:00,2017-12-19 00:00:00,낙찰,Private,부산,강서구,명지동,,N,3235.0,,엘크루솔마레 106동 2층 206호,Apartment,2015-01-07 00:00:00,10,2,,N,명지오션시티12로,10.0,,2018-02-27 00:00:00,배당,35.080855299999996,128.897144,3.42525
1783,강제,개별,10.87,대한감정,2012-06-11 00:00:00,6,5,532.0,16.65,16.65,98.08,98.08,2.28745632,1.1711799999999999,2013-07-04 00:00:00,2016-04-29 00:00:00,낙찰,Private,부산,동래구,낙민동,,N,236.0,,",237-2 삼주 8층 801호",Apartment & Stores,1111-11-11 00:00:00,15,8,"**1차감정:220,000,000",N,0,,,2017-06-29 00:00:00,배당,35.20111160000001,129.08868710000002,1.2663
2164,임의,일반,0.9,오상호감정,2016-10-12 00:00:00,1,0,22200.0,43.61,43.61,48.89,48.89,1.27,1.27,2017-09-28 00:00:00,2017-09-28 00:00:00,낙찰,부산은행,부산,북구,금곡동,,N,1110.0,,금곡6단지주공 604동 16층 1601호,Apartment,1995-10-14 00:00:00,21,16,,N,효열로,40.0,,2017-11-29 00:00:00,배당,35.2488338,129.0154548,1.2717
1964,임의,일반,2.18076179,대화감정,2016-03-16 00:00:00,2,1,26420.0,58.19,58.19,131.98,131.98,2.65,2.12,2016-08-18 00:00:00,2016-09-22 00:00:00,낙찰,제이티캐피탈,부산,사상구,엄궁동,,N,669.0,2.0,엄궁대림 103동 4층 406호,Apartment,1999-09-07 00:00:00,25,4,,N,엄궁로,158.0,,2016-11-30 00:00:00,배당,35.1291519,128.9782313,2.512
1826,임의,일반,0.45,태화감정,2015-09-21 00:00:00,3,1,0.0,0.0,0.0,68.2,68.2,0.67,0.536,2016-09-30 00:00:00,2016-12-29 00:00:00,낙찰,Private,부산,연제구,연산동,,Y,20.0,55.0,국토 4층 402호,Apartment,1111-11-11 00:00:00,8,4,,N,망미번영로,103.0,,2017-03-08 00:00:00,배당,35.17635070000001,129.11123529999998,0.55203
2399,임의,일반,0.15,대일감정,2017-06-01 00:00:00,2,1,14241.4,21.0,21.0,127.0,127.0,4.07,3.2560000000000002,2017-12-22 00:00:00,2018-01-26 00:00:00,낙찰,오케이캐피탈대부,부산,동구,범일동,,N,825.0,7.0,두산위브포세이돈2 4층 102-405호,Apartment & Stores,2007-01-31 00:00:00,47,4,,N,자성로116번길,2.0,,2018-04-04 00:00:00,배당,35.13598020000001,129.0639037,3.7
2576,임의,일반,2.0,국제감정,2016-08-26 00:00:00,1,0,18183.5,40.46,40.46,84.98,84.98,3.74,3.74,2017-01-24 00:00:00,2017-01-24 00:00:00,낙찰,Private,부산,해운대구,반여동,,N,1641.0,,센텀롯데캐슬3차 302동 28층 2805호,Apartment,2006-01-20 00:00:00,29,28,,N,반여로,83.0,,2017-03-29 00:00:00,배당,35.19960379999999,129.1217426,4.21
1940,임의,일반,0.14666666,희감정,2016-02-22 00:00:00,1,0,4715.9,31.35,31.35,49.68,49.68,1.6,1.6,2016-06-22 00:00:00,2016-06-22 00:00:00,낙찰,Private,부산,북구,화명동,,N,1429.0,2.0,우신 10동 2층 210호,Apartment,1987-12-18 00:00:00,5,2,,N,금곡대로324번길,45.0,,2016-08-31 00:00:00,배당,35.23723560000001,129.0170842,1.67213
2124,임의,일반,0.17980668,하나감정,2016-09-01 00:00:00,1,0,125210.8,36.57,36.57,84.96,84.96,2.0,2.0,2017-02-01 00:00:00,2017-02-01 00:00:00,낙찰,우리은행,부산,사하구,하단동,,N,1175.0,,",1176 가락타운 313동 10층 1004호",Apartment,1992-10-30 00:00:00,24,10,,N,하신중앙로,265.0,,2017-04-06 00:00:00,배당,35.1012973,128.95738640000002,2.002
2025,강제,일반,0.4,나라감정,2016-05-10 00:00:00,2,1,379.0,4.05,4.05,24.79,24.79,0.46,0.368,2017-02-14 00:00:00,2017-03-21 00:00:00,낙찰,Private,부산,중구,보수동2가,,N,118.0,3.0,노블레스힐 7층 706호,Apartment & Stores,2002-08-27 00:00:00,10,7,,N,대청로,37.0,,2017-05-24 00:00:00,배당,35.1033792,129.0240851,0.4598
2400,임의,일반,3.6,써브감정,2017-05-17 00:00:00,2,1,50883.0,51.49,51.49,146.1,146.1,4.69,3.752,2018-01-05 00:00:00,2018-03-02 00:00:00,낙찰,부산은행,부산,연제구,거제동,,N,714.0,144.0,",-163,-164,-165,-211,-214 거제유림아시아드 109동 5층 502호",Apartment,2001-11-12 00:00:00,25,5,,N,해맞이로,23.0,,2018-05-09 00:00:00,배당,35.177636,129.0656932,4.05
2332,임의,개별,0.0569145,부경감정,2017-01-13 00:00:00,2,1,149683.1,71.0,71.0,49.94,49.94,1.19,0.9520000000000001,2017-10-13 00:00:00,2017-11-17 00:00:00,낙찰,국민은행,부산,사상구,모라동,,N,552.0,,백양그린 207동 12층 1208호,Apartment,1992-07-31 00:00:00,15,12,,N,모라로110번길,88.0,,2018-01-31 00:00:00,배당,35.1846011,128.9967645,1.0411
1819,임의,일반,1.3771094,통일감정,2015-09-09 00:00:00,2,1,20662.0,43.15,43.15,84.97,84.97,2.08,1.6640000000000001,2016-03-30 00:00:00,2016-04-27 00:00:00,낙찰,부산은행,부산,영도구,청학동,,N,99.0,294.0,신영도롯데낙천대 106동 7층 702호,Apartment,2005-12-26 00:00:00,20,7,,N,청학남로,48.0,,2016-06-15 00:00:00,배당,35.0882359,129.0624309,1.97555
2143,임의,일반,1.32176824,대화감정,2016-09-28 00:00:00,1,0,8721.0,55.18,55.18,76.67,76.67,1.81,1.81,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,농협은행,부산,부산진구,연지동,,N,376.0,8.0,삼익 1동 11층 1105호,Apartment,1978-04-13 00:00:00,12,11,,N,새싹로,149.0,,2017-07-12 00:00:00,배당,35.1692218,129.049745,2.593999
2193,임의,일반,6.0,나라감정,2016-11-18 00:00:00,1,0,26718.0,56.85,56.85,164.85,164.85,3.45,3.45,2017-06-22 00:00:00,2017-06-22 00:00:00,낙찰,대구은행,부산,사상구,주례동,,N,10.0,4.0,엘지신주례 207동 6층 604호,Apartment,1996-12-18 00:00:00,24,6,,N,백양대로342번길,17.0,,2017-08-28 00:00:00,배당,35.153895,129.0133018,3.81
2155,강제,일반,0.25750841,한마음감정,2016-10-04 00:00:00,2,1,15695.4,18.07,18.07,59.82,59.82,2.43,1.944,2017-03-21 00:00:00,2017-04-25 00:00:00,낙찰,삼성카드,부산,금정구,부곡동,,N,235.0,5.0,우신뉴타운 102동 15층 1508호,Apartment,1995-05-09 00:00:00,24,15,,N,중앙대로1667번길,8.0,,2017-06-22 00:00:00,배당,35.23407849999999,129.0906005,2.3664
2172,임의,개별,1.0,대화감정,2016-10-24 00:00:00,1,0,2179.4,4.99,4.99,46.33,46.33,1.06,1.06,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,영진건설,부산,부산진구,전포동,,N,892.0,21.0,서면노르웨이아침 22층 2205호,Apartment & Stores,2004-11-15 00:00:00,27,22,,N,동천로,10.0,1.0,2017-07-20 00:00:00,배당,35.1499607,129.063476,1.0955
1910,임의,일반,1.18958072,삼보감정,2015-11-05 00:00:00,2,1,48890.0,42.3,42.3,83.6,83.6,1.78,1.4240000000000002,2016-06-10 00:00:00,2016-07-08 00:00:00,낙찰,한화손해보험,부산,부산진구,당감동,,N,791.0,,국제백양 11동 9층 901호,Apartment,1995-03-18 00:00:00,15,9,,N,백양관문로,104.0,,2016-09-09 00:00:00,배당,35.1684256,129.0284943,1.73
2686,강제,일반,0.61932733,한마음감정,2017-07-14 00:00:00,3,2,61699.3,58.85,58.85,84.97,84.97,3.01,1.9264,2017-12-05 00:00:00,2018-03-20 00:00:00,낙찰,Private,부산,기장군,정관읍,모전리,N,730.0,,이지더원3차 301동 3층 303호,Apartment,2015-04-30 00:00:00,18,3,,N,정관로,350.0,,2018-05-16 00:00:00,배당,35.335884899999996,129.163246,2.372
2022,임의,일반,0.63202614,대한감정,2016-05-16 00:00:00,1,0,26572.0,39.26,39.26,53.85,53.85,0.89,0.89,2016-09-30 00:00:00,2016-09-30 00:00:00,낙찰,국민은행,부산,영도구,동삼동,,N,656.0,,",654-1 조양비취맨션 6동 4층 406호",Apartment,1985-12-26 00:00:00,5,4,,N,절영로,504.0,,2016-12-02 00:00:00,배당,35.071695899999995,129.0716517,0.9439
2173,임의,일반,2.64822041,한라감정,2016-10-19 00:00:00,1,0,50883.0,59.4,59.4,168.53,168.53,4.25,4.25,2017-05-19 00:00:00,2017-05-19 00:00:00,낙찰,하나은행,부산,연제구,거제동,,N,714.0,144.0,",-163,-164,-165,-211,-214 거제유림아시아드 103동 17층 1701호",Apartment,2001-11-12 00:00:00,25,17,,N,해맞이로,23.0,,2017-07-19 00:00:00,배당,35.177636,129.0656932,4.65871
2171,임의,개별,1.0,대화감정,2016-10-24 00:00:00,1,0,2179.4,4.42,4.42,38.53,38.53,0.94,0.94,2017-05-10 00:00:00,2017-05-10 00:00:00,낙찰,영진건설,부산,부산진구,전포동,,N,892.0,21.0,서면노르웨이아침 18층 1811호,Apartment & Stores,2004-11-15 00:00:00,27,18,,N,동천로,10.0,1.0,2017-07-20 00:00:00,배당,35.1499607,129.063476,0.96581
2157,강제,일반,0.12764116,대일감정,2016-10-21 00:00:00,2,1,23082.0,51.34,51.34,84.95,84.95,1.44,1.1520000000000001,2017-02-01 00:00:00,2017-03-08 00:00:00,낙찰,Private,부산,사하구,장림동,,N,566.0,7.0,강남 1동 15층 1505호,Apartment,1992-08-26 00:00:00,15,15,,N,장평로41번길,61.0,,2017-05-17 00:00:00,배당,35.071989200000004,128.97083510000002,1.32999
2503,강제,일반,0.48644335,한라감정,2016-03-16 00:00:00,2,1,7624.8,41.15,41.15,84.98,84.98,1.55,1.24,2016-08-17 00:00:00,2016-09-21 00:00:00,낙찰,유진대부금융,부산,해운대구,재송동,,N,1123.0,3.0,한보미도 14층 1412호,Apartment,1992-10-10 00:00:00,15,14,,N,재반로64번길,74.0,1.0,2016-11-18 00:00:00,배당,35.1868334,129.1300094,1.4769
2299,임의,일반,3.79332776,제일감정,2016-11-08 00:00:00,2,1,440.3,13.03,13.03,136.96,136.96,4.87,3.8960000000000004,2017-06-22 00:00:00,2017-07-27 00:00:00,낙찰,동부화재해상보험,부산,영도구,대교동1가,,N,1.0,,브릿지타워 17층 1701호,Apartment & Stores,2012-03-27 00:00:00,20,17,,N,태종로,40.0,,2017-09-27 00:00:00,배당,35.0944703,129.0364811,4.15
2736,임의,일반,1.64989654,나라감정,2017-06-13 00:00:00,2,1,12829.0,29.51,29.51,74.12,74.12,1.68,1.344,2018-01-10 00:00:00,2018-02-21 00:00:00,낙찰,비에스금융대부,부산,사상구,덕포동,,N,51.0,,오양힐타운 102동 4층 415호,Apartment,1992-10-21 00:00:00,18,4,,N,덕상로,8.0,35.0,2018-04-18 00:00:00,배당,35.1717738,128.989478,1.56348899
2192,임의,일반,2.40356544,오상호감정,2016-11-15 00:00:00,2,1,60610.0,36.39,36.39,84.91,84.91,2.28,1.824,2017-09-28 00:00:00,2017-11-02 00:00:00,낙찰,국민은행,부산,북구,구포동,,N,1103.0,2.0,현대 9동 9층 901호,Apartment,1994-05-25 00:00:00,15,9,,N,백양대로,1003.0,,2017-12-13 00:00:00,배당,35.196595,128.9927422,1.953
2536,임의,일반,1.35,금정감정,2016-05-23 00:00:00,1,0,23427.5,22.56,22.56,59.61,59.61,1.89,1.89,2016-10-17 00:00:00,2016-10-17 00:00:00,낙찰,(주)티베이,부산,해운대구,재송동,,N,1048.0,3.0,센텀우신골든빌 108동 3층 305호,Apartment,2006-11-16 00:00:00,20,3,,N,재반로125번길,30.0,,2016-12-20 00:00:00,배당,35.19025590000001,129.1249859,2.051711
2436,강제,일반,0.36,평진감정,2015-07-21 00:00:00,6,4,7653.0,47.81,47.81,72.17,72.17,1.0,0.64,2016-02-02 00:00:00,2018-03-22 00:00:00,낙찰,Private,부산,해운대구,반송동,,N,401.0,,",-1 삼한그린맨션 3동 2층 203호",Apartment & Stores,1990-05-10 00:00:00,6,2,,N,반송로877번길,91.0,,2018-05-23 00:00:00,배당,35.2342421,129.150655,0.878799
2758,임의,일반,1.6,희감정,2017-06-19 00:00:00,2,1,299.5,25.18,25.18,79.89,79.89,2.4,1.92,2017-09-19 00:00:00,2017-10-24 00:00:00,낙찰,Private,부산,서구,토성동5가,,N,18.0,3.0,목연정빌라 3층 302호,Apartment,2002-04-18 00:00:00,8,3,,N,구덕로134번길,16.0,,2017-11-30 00:00:00,배당,35.097773600000004,129.0221192,2.05
1943,임의,일반,1.6,한마음감정,2016-02-12 00:00:00,2,1,284.0,17.73,17.73,77.82,77.82,1.96,1.568,2016-07-27 00:00:00,2016-08-24 00:00:00,낙찰,Private,부산,동래구,온천동,,N,1378.0,9.0,",-25 대화빌 3층 302호",Apartment,2013-02-06 00:00:00,10,3,,N,여고북로73번길,34.0,,2016-11-23 00:00:00,배당,35.2020156,129.068952,1.71
2524,임의,일반,0.05,문일감정,2016-04-18 00:00:00,2,1,1185.9,39.53,19.77,62.55,31.28,0.65,0.52,2016-10-25 00:00:00,2016-11-22 00:00:00,낙찰,Private,부산,남구,용호동,,N,497.0,2.0,동산그린맨션 3층 306호,Apartment,1985-04-26 00:00:00,5,3,공유자우선매수권행사남용제한,Y,용호로159번길,18.0,,2017-01-18 00:00:00,배당,35.1176088,129.11257709999998,0.52
1961,임의,일반,1.53,부경감정,2016-03-15 00:00:00,1,0,102460.0,22.57,22.57,59.8,59.8,1.83,1.83,2016-07-20 00:00:00,2016-07-20 00:00:00,낙찰,Private,부산,북구,화명동,,N,1170.0,1.0,화명동대림타운 202동 7층 703호,Apartment,1998-12-08 00:00:00,25,7,,N,금곡대로,268.0,,2016-09-21 00:00:00,배당,35.230988,129.015462,1.88253
